basin,stream,basin.stream,n,w,elev,aspect,from.north,percent.south,slope,bf,pebble,ammonia.fall17,ammonia.sum17,ammonia.sum18,canopy.fall17,canopy.sum17,canopy.sum18,carbon.fall17,carbon.sum17,carbon.sum18,cut.capt.sum17,cut.capt.sum18,cut.mass.m.sum17,cut.mass.m.sum18,cut.mass.se.sum17,cut.mass.se.sum18,cut.mass.sum17,cut.mass.sum18,cut.pop.se.sum17,cut.pop.se.sum18,cut.pop.sum17,cut.pop.sum18,depth.fall17,depth.sum17,depth.sum18,discharge.fall17,discharge.sum17,discharge.sum18,nitrate.fall17,nitrate.sum17,nitrate.sum18,par.integrative.fall17,par.integrative.sum17,par.integrative.sum18,par.max.fall17,par.max.sum17,par.max.sum18,par.mean.fall17,par.mean.sum17,par.mean.sum18,phosphate.fall17,phosphate.sum17,phosphate.sum18,pr.ratio.fall17,pr.ratio.sum17,pr.ratio.sum18,sculp.mass.m.sum17,sculp.mass.m.sum18,temp.max.fall17,temp.max.sum17,temp.max.sum18,temp.mean.fall17,temp.mean.sum17,temp.mean.sum18,temp.min.fall17,temp.min.sum17,temp.min.sum18,width.fall17,width.sum17,width.sum18
swauk,blue,swauk.blue,47.296801,120.705743,869,120,120,66.7,3,5.2,35.5,-0.0163407,-0.0144229,-0.0097535,32.6,32.6,23.4,2.36,4.99,0.51,0.52,0.56,3.01,7.06,1.542,3.449,28.54,10.9,0.48,3.22,15,16.2,0.038,0.048,0.054,6.3,9,12.2,0.002935,0.0058888,0.0085515,0.2290639,1.1243815,1.6454489,4381.4,21381.2,60478.2,795.4,3904.1,5713.4,0.0130328,0.0149465,0.0206144,-0.00244,-0.02513,-0.001633,0,0.12,1.39,12.32,11.41,1.01,11.53,9.66,0.61,10.58,7.51,0.9,0.9,1
taneum,first,taneum.first,47.114618,120.946155,880,155,155,86.1,5,5.07,42,-0.0131792,-0.0160324,-0.0103038,22.9,22.1,22.4,5.11,3.31,8.16,1,0,0.28,0,0,0,7,0,0,0,1,0,0.04,0.06,0.04,4.6,0.3,1.2,0.0010085,0.011325,0.0085704,0.0900563,1.3582056,1.0669254,2088,48044.7,50673.9,312.7,4716,3704.6,0.0455279,0.0433362,0.0609673,NA,-0.010325,NA,0.12,0.05,2.58,12.56,11.08,2.42,11.74,10.19,2.27,10.76,9.22,0.35,0.37,0.45
taneum,frost,taneum.frost,47.102939,120.950163,904,328,32,17.8,10,12.74,60,-0.016478,-0.0155774,-0.0109255,20.3,4.9,26,9.02,6.62,13.27,0.92,1,1.87,1.39,0.209,0.822,3.58,4.34,0.33,0,13.1,8,0.06,0.073,0.072,6.9,7,9.6,0.0002891,0.0038642,0.0082679,0.0661704,0.9868906,2.2312729,1779.1,25937.3,68241.7,229.8,3426.7,7747.5,0.0338203,0.0336418,0.0419804,-0.004461,-0.0039,-0.003653,0.27,1.64,2.03,14.03,13.58,1.8,11.64,10.89,1.53,10.2,8.91,0.5,0.38,1.2
swauk,hovey,swauk.hovey,47.318852,120.695241,905,108,108,60,6,3.44,62,-0.0140826,-0.015206,-0.009647,46.4,26.8,29.9,3.85,4.09,7.68,0.77,0.78,4.17,3.86,0.857,0.968,6.17,8.34,1.23,0.97,16.9,11.6,0.07,0.07,0.054,8.7,4.4,10.9,0.1816721,0.0034228,0.0083529,0.098671,1.6185798,1.7173221,2102.1,25350,60433.1,342.6,5620.1,5962.9,0.0080934,0.0167959,0.0250692,-0.003853,-0.028587,-0.001133,0,0,2.61,11.85,10.95,2.48,11.22,9.64,2.35,10.5,8,0.95,0.9,0.7
swauk,hurley,swauk.hurley,47.321212,120.674011,932,302,58,32.2,3,3.32,66,-0.0161283,-0.0160625,-0.0102217,47.1,40.1,40.4,5.69,4.07,11.09,0.57,0.83,5.03,2.04,0.419,1.413,5.13,7.1,3.71,0.54,24.5,7.2,0.046,0.046,0.056,2.3,0.3,1.7,0.0128237,0.013385,0.008881,0.2439064,3.5253744,0.8967503,6439.6,102800,44626.3,846.9,12240.9,3113.7,0.0147885,0.016076,0.0253772,-0.011591,-0.006864,-0.02082,0,0,4.03,12.29,10.63,3.62,10.53,8.97,3.42,8.72,7.26,0.9,0.6,0.8
swauk,iron,swauk.iron,47.336689,120.693441,950,139,139,77.2,2,5.16,43.5,-0.0162749,-0.0171266,-0.0111024,19.3,6.8,10.7,4.49,3.92,8.94,0.88,0.77,4.68,4.13,1.255,0.937,6.08,6.11,0.59,1.23,19.3,16.9,0.08,0.102,0.108,11.8,9.8,28.5,0.0001039,0.0031448,0.0087862,0.0352814,0.4594512,0.2629984,666,12166.7,27590.2,122.5,1595.3,913.2,0.0083919,0.0083334,0.0176997,-0.009044,-0.011177,-0.005344,0,0,4.72,10.52,9.18,4.59,9.15,7.93,4.45,8.04,6.77,1.6,2,1.35
teanaway,jack,teanaway.jack,47.3475,120.782771,954,225,135,75,3,3.62,68.5,-0.0154918,-0.016948,-0.0123252,45.3,50.8,55.5,6.31,4.82,10.74,1,0.5,3.75,13.4,6.161,11.029,31.23,27.92,0,3.46,3,12,0.11,0.094,0.094,12.1,5.2,8.9,-0.0007981,0.0030031,0.0085704,0.3160703,0.6796484,1.0983069,6075.6,10136.4,67262.4,1097.5,2359.9,3813.6,0.0086114,0.0104461,0.0233015,-0.013294,-0.031966,-0.010582,2.6,5.17,3.2,12.61,11.3,2.86,10.41,9.05,2.52,8.72,7.84,1.6,1.9,2
teanaway,miller,teanaway.miller,47.368323,120.78448,981,170,170,94.4,5,6.08,55,-0.013041,-0.0144906,-0.010771,36.2,15.9,6.8,1.79,1.84,4.6,0.67,0.86,5.58,4.33,4.571,2.353,15.51,13.26,1.5,0.48,9,8.2,0.088,0.1,0.112,35.5,49.5,65.5,0.0076355,0.0098045,0.0094424,0.1086784,0.507454,0.2789166,1907.8,10470.8,32647.6,377.4,1762,968.5,0.0049332,0.0057554,0.013808,NA,-0.00399,-0.001192,2.48,0.5,3.47,12.76,9.35,3.08,11.05,8.16,2.8,9.84,6.95,2,1.7,2.2
teanaway,standup,teanaway.standup,47.356182,120.836047,871,152,152,84.4,8,4.42,92,-0.0143129,-0.0155181,-0.011078,78.1,46.9,19.3,2.14,1.69,5.2,0.5,0.3,1.98,9,9.035,1.027,17.33,6.75,2,13.47,4,33.3,0.17,0.13,0.114,52.9,44.7,42.2,-0.0012613,0.0049569,0.0086581,0.5013945,2.0117093,1.1441841,19970.1,40000,61668.8,1741,6985.1,3972.9,0.0074146,0.0062148,0.0150953,NA,-0.012601,-0.005684,5.98,7.91,3.79,14.72,11.15,3.29,12.49,9.3,3.03,10.86,7.5,2.1,2.2,2.2
swauk,swauk,swauk.swauk,47.331107,120.614636,1071,289,71,39.4,4,4.82,39,-0.0134443,-0.0122278,-0.0092394,26,29.2,26.8,3.57,3.39,6.93,0.85,0.8,8.62,7.88,1.184,1.249,7.01,10.51,1.01,1.08,30.7,18.8,0.06,0.12,0.05,20.9,23.8,34.2,0.0030277,0.2497129,0.008606,0.1383267,2.0638441,0.5608226,3685.4,102695.6,43097.8,480.3,7166.1,1947.3,0.0264903,0.0399653,0.0490258,-0.003284,-0.00117,-0.003438,0,0,2,12.28,10.69,1.7,10.73,8.87,1.51,8.88,7.31,1.1,2,1.05
