basin,stream,season,yr,season.yr,basin.stream,basin.season.yr,basin.stream.season.yr,n,w,elev,aspect,from.north,percent.south,slope,bf,pebble,width,depth,velocity.mean,discharge,carbon,ammonia,nitrate,din,din.out,cn.ratio,phosphate,canopy,canopy.cat,par.integrative,par.mean,par.max,temp.max,temp.min,temp.min.cat,temp.mean,k600.lit,r2.lit,gpp.lit,er.lit,neglogl.lit,pr.lit,k600.my,r2.my,gpp.my,er.my,neglogl.my,pr.my,r2.lit.5,gpp.lit.5,er.lit.5,neglogl.lit.5,pr.lit.5,r2.my.5,gpp.my.5,er.my.5,neglogl.my.5,pr.my.5,k600.model,r2.model,gpp.model,er.model,neglogl.model,pr.model,sculp.mass.m,cut.capt,cut.pop,cut.pop.se,cut.pop.dens,cut.pop.dens.se,cut.ln,cut.ln.se,cut.mass,cut.mass.se,cut.mass.m,cut.mass.m.er,cut.mass.m2,cut.mass.m2.er
swauk,blue,fall,A17,2fall17,swauk.blue,swauk.fall.17,swauk.blue.fall.17,47.296801,120.705743,869,120,120,67,3,5.2,35.5,0.9,0.038,0.188,6.3,2.36,-0.0163407,0.002935,0.0049822,0.0049822,473.7,0.0130328,32.6,c.open,0.2290639,795.4,4381.4,1.39,0.61,te.lo,1.01,80.76805068,NA,NA,NA,NA,NA,34.32742452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.709389,0.9838,-0.0110764,0.1151914,-1007.082,-0.096156484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taneum,first,fall,A17,2fall17,taneum.first,taneum.fall.17,taneum.first.fall.17,47.114618,120.946155,880,155,155,86,5,5.07,42,0.35,0.04,0.65,4.6,5.11,-0.0131792,0.0010085,0.0062172,0.0062172,821.9,0.0455279,22.9,c.closed,0.0900563,312.7,2088,2.58,2.27,te.lo,2.42,118.9953569,NA,NA,NA,NA,NA,59.42083489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8108157,0.6132,0.001684413,-0.2599086,-3378.473,0.00648079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taneum,frost,fall,A17,2fall17,taneum.frost,taneum.fall.17,taneum.frost.fall.17,47.102939,120.950163,904,328,32,18,10,12.74,60,0.5,0.06,0.19,6.9,9.02,-0.016478,0.0002891,0.002199,0.002199,4101.9,0.0338203,20.3,c.closed,0.0661704,229.8,1779.1,2.03,1.53,te.lo,1.8,212.3781593,0.6136,0.223536,-14.19297,-945.4767,0.015749769,34.42400607,0.654,0.02078837,-2.286231,-989.0346,0.009092856,0.6136,0.223536,-14.19297,-945.4767,0.015749769,0.654,0.02078837,-2.286231,-989.0346,0.009092856,2.635526,0.9247,-0.0065061,-0.1627994,-1618.736,-0.039963907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swauk,hovey,fall,A17,2fall17,swauk.hovey,swauk.fall.17,swauk.hovey.fall.17,47.318852,120.695241,905,108,108,60,6,3.44,62,0.95,0.07,0.108,8.7,3.85,-0.0140826,0.1816721,0.1859774,NA,20.7,0.0080934,46.4,c.open,0.098671,342.6,2102.1,2.61,2.35,te.lo,2.48,137.8831073,0.7924,0.08183642,-11.53517,-1449.363,0.007094514,30.55414127,0.8097,0.01557713,-2.554646,-1449.155,0.006097569,0.7924,0.08183642,-11.53517,-1449.363,0.007094514,0.8097,0.01557713,-2.554646,-1449.155,0.006097569,53.0786,0.8044,0.03006679,-4.439495,-1455.028,0.00677257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swauk,hurley,fall,A17,2fall17,swauk.hurley,swauk.fall.17,swauk.hurley.fall.17,47.321212,120.674011,932,302,58,32,3,3.32,66,0.9,0.046,0.048,2.3,5.69,-0.0161283,0.0128237,0.0150833,0.0150833,377.2,0.0147885,47.1,c.open,0.2439064,846.9,6439.6,4.03,3.42,te.lo,3.62,80.76805068,0.669,0.06587567,-4.551757,-794.8829,0.014472581,27.84099622,0.6175,0.01541191,-1.563667,-761.1564,0.009856261,0.669,0.06587567,-4.551757,-794.8829,0.014472581,0.6175,0.01541191,-1.563667,-761.1564,0.009856261,290.9569,0.6721,0.2622225,-16.41618,-804.5897,0.015973418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swauk,iron,fall,A17,2fall17,swauk.iron,swauk.fall.17,swauk.iron.fall.17,47.336689,120.693441,950,139,139,77,2,5.16,43.5,1.6,0.08,0.084,11.8,4.49,-0.0162749,0.0001039,0.0022169,0.0022169,2025.4,0.0083919,19.3,c.closed,0.0352814,122.5,666,4.72,4.45,te.lo,4.59,61.35297862,0.7439,0.08993625,-5.947003,-1303.772,0.015122954,29.45674335,0.7812,0.04633319,-2.854367,-1328.232,0.016232387,0.7439,0.08993625,-5.947003,-1303.772,0.015122954,0.7812,0.04633319,-2.854367,-1328.232,0.016232387,30.35006,0.7804,0.04766687,-2.941016,-1328.297,0.01620762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
teanaway,jack,fall,A17,2fall17,teanaway.jack,teanaway.fall.17,teanaway.jack.fall.17,47.3475,120.782771,954,225,135,75,3,3.62,68.5,1.6,0.11,0.068,12.1,6.31,-0.0154918,-0.0007981,0.002098,0.002098,3007.6,0.0086114,45.3,c.open,0.3160703,1097.5,6075.6,3.2,2.52,te.lo,2.86,80.76805068,0.9102,0.2798147,-10.84699,-1244.645,0.02579653,28.73411888,0.9288,0.08515307,-3.85911,-1255.288,0.022065468,0.9102,0.2798147,-10.84699,-1244.645,0.02579653,0.9288,0.08515307,-3.85911,-1255.288,0.022065468,32.112,0.9276,0.09759485,-4.312695,-1255.497,0.022629667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
teanaway,miller,fall,A17,2fall17,teanaway.miller,teanaway.fall.17,teanaway.miller.fall.17,47.368323,120.78448,981,170,170,94,5,6.08,55,2,0.088,0.162,35.5,1.79,-0.013041,0.0076355,0.0129824,0.0129824,137.9,0.0049332,36.2,c.open,0.1086784,377.4,1907.8,3.47,2.8,te.lo,3.08,118.9953569,NA,NA,NA,NA,NA,33.08179879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.766077,0.9395,-0.01831988,1.164879,-1134.917,-0.015726852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
teanaway,standup,fall,A17,2fall17,teanaway.standup,teanaway.fall.17,teanaway.standup.fall.17,47.356182,120.836047,871,152,152,84,8,4.42,92,2.1,0.17,0.162,52.9,2.14,-0.0143129,-0.0012613,0.0028137,0.0028137,760.6,0.0074146,78.1,c.open,0.5013945,1741,19970.1,3.79,3.03,te.lo,3.29,175.3155467,NA,NA,NA,NA,NA,33.08179879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.277217,0.9013,-0.03519286,1.672073,-954.6897,-0.021047442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swauk,swauk,fall,A17,2fall17,swauk.swauk,swauk.fall.17,swauk.swauk.fall.17,47.331107,120.614636,1071,289,71,39,4,4.82,39,1.1,0.06,0.284,20.9,3.57,-0.0134443,0.0030277,0.0079713,0.0079713,447.9,0.0264903,26,c.closed,0.1383267,480.3,3685.4,2,1.51,te.lo,1.7,99.96696333,0.7136,0.007374261,-6.935043,-913.6991,0.001063333,39.0851226,NA,NA,NA,NA,NA,0.7136,0.007374261,-6.935043,-913.6991,0.001063333,NA,NA,NA,NA,NA,14.53113,0.7239,-0.01210214,-1.004537,-969.2513,-0.012047481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
