basin,stream,season,yr,canopy,canopy.cat,temp.min,temp.min.cat,cut.mass.m2,t.cut.mass.m2,,,,,
taneum,frost,sum,A17,5,c.closed,10.20,te.hi,4.928965771,1.779849792,,,,,
teanaway,miller,sum,B18,7,c.closed,6.95,te.lo,1.969280303,1.088319601,,,,,
swauk,iron,sum,A17,7,c.closed,8.04,te.lo,2.342421053,1.206695411,,,,,
swauk,iron,sum,B18,11,c.closed,6.77,te.lo,3.060777778,1.401374526,,,,,
teanaway,miller,sum,A17,16,c.closed,9.84,te.hi,3.285,1.455120552,,,,,
teanaway,standup,sum,B18,19,c.closed,7.50,te.lo,4.08912656,1.627106217,,,,,
taneum,first,sum,A17,22,c.closed,10.76,te.hi,0.378378378,0.32090772,,,,,
taneum,first,sum,B18,22,c.closed,9.22,te.mid,0,0,,,,,
swauk,blue,sum,B18,23,c.closed,7.51,te.lo,7.0632,2.0873105,,,,,
taneum,frost,sum,B18,26,c.open,8.91,te.mid,1.156666667,0.76856382,,,,,
swauk,swauk,sum,B18,27,c.open,7.31,te.lo,7.503968254,2.140532908,,,,,
swauk,hovey,sum,A17,27,c.open,10.50,te.hi,4.633416667,1.728716126,,,,,
swauk,swauk,sum,A17,29,c.open,8.88,te.mid,4.307963637,1.669208266,,,,,
swauk,hovey,sum,B18,30,c.open,8.00,te.lo,5.512207793,1.873678537,,,,,
swauk,blue,sum,A17,33,c.open,10.58,te.hi,3.342857143,1.468532459,,,,,
swauk,hurley,sum,A17,40,c.open,8.72,te.mid,8.379,2.238473148,,,,,
swauk,hurley,sum,B18,40,c.open,7.26,te.lo,2.556,1.268636318,,,,,
teanaway,standup,sum,A17,47,c.open,10.86,te.hi,0.9004329,0.642081702,,,,,
teanaway,jack,sum,A17,51,c.open,8.72,te.mid,1.972631579,1.089447614,,,,,
teanaway,jack,sum,B18,56,c.open,7.84,te.lo,6.701333335,2.041393474,,,,,
