seq,time,date.time,temp,light,oxy,oxy.mod,sat,,
1,1530428400,7:00:00,8.681052,0,9.423916,9.423916,92.135586,,
2,1530428700,7:05:00,8.662389,0,9.438501,9.428996,92.236426,,
3,1530429000,7:10:00,8.643719,0,9.445479,9.433948,92.262821,,
4,1530429300,7:15:00,8.625043,0,9.444834,9.438788,92.21472,,
5,1530429600,7:20:00,8.615703,0,9.448328,9.443279,92.227922,,
6,1530429900,7:25:00,8.597017,0,9.440063,9.447716,92.10545,,
7,1530430200,7:30:00,8.587671,0,9.466469,9.451856,92.342129,,
8,1530430500,7:35:00,8.568976,0,9.465836,9.455986,92.294033,,
9,1530430800,7:40:00,8.559626,0,9.44643,9.459858,92.083898,,
10,1530431100,7:45:00,8.550274,0,9.457567,9.463502,92.171512,,
11,1530431400,7:50:00,8.531565,0,9.449312,9.4672,92.049191,,
12,1530431700,7:55:00,8.51285,0,9.471612,9.470945,92.224446,,
13,1530432000,8:00:00,8.494129,0,9.478648,9.474733,92.250938,,
14,1530432300,8:05:00,8.484765,0,9.46687,9.478305,92.115321,,
15,1530432600,8:10:00,8.466034,0,9.47391,9.481941,92.141812,,
16,1530432900,8:15:00,8.447296,0,9.488617,9.485634,92.242764,,
17,1530433200,8:20:00,8.428551,0,9.480362,9.489378,92.120453,,
18,1530433500,8:25:00,8.419177,0,9.491552,9.492913,92.20813,,
19,1530433800,8:30:00,8.400422,0,9.483303,9.496519,92.085905,,
20,1530434100,8:35:00,8.381661,0,9.505708,9.500187,92.261269,,
21,1530434400,8:40:00,8.372278,0,9.509253,9.503658,92.274567,,
22,1530434700,8:45:00,8.353507,0,9.508671,9.507208,92.226695,,
23,1530435000,8:50:00,8.344119,0,9.512221,9.510576,92.240004,,
24,1530435300,8:55:00,8.325337,0,9.511647,9.514037,92.192184,,
25,1530435600,9:00:00,8.30655,0,9.534135,9.51758,92.367791,,
26,1530435900,9:05:00,8.287755,0,9.525876,9.521197,92.245441,,
27,1530436200,9:10:00,8.278355,0,9.521753,9.524624,92.184352,,
28,1530436500,9:15:00,8.259551,0,9.544273,9.528138,92.359949,,
29,1530436800,9:20:00,8.250146,0,9.532449,9.531477,92.224334,,
30,1530437100,9:25:00,8.231332,0,9.539592,9.534915,92.251017,,
31,1530437400,9:30:00,8.21251,0,9.531352,9.538441,92.128933,,
32,1530437700,9:35:00,8.193682,0,9.530812,9.542045,92.081308,,
33,1530438000,9:40:00,8.174847,0,9.56108,9.545717,92.331189,,
34,1530438300,9:45:00,8.165427,0,9.556956,9.549195,92.270093,,
35,1530438600,9:50:00,8.146582,0,9.571856,9.552758,92.371335,,
