seq,value,oxy,,
1,9.423916,obs,,
2,9.438501,obs,,
3,9.445479,obs,,
4,9.444834,obs,,
5,9.448328,obs,,
6,9.440063,obs,,
7,9.466469,obs,,
8,9.465836,obs,,
9,9.44643,obs,,
10,9.457567,obs,,
11,9.449312,obs,,
12,9.471612,obs,,
13,9.478648,obs,,
14,9.46687,obs,,
15,9.47391,obs,,
16,9.488617,obs,,
17,9.480362,obs,,
18,9.491552,obs,,
19,9.483303,obs,,
20,9.505708,obs,,
21,9.509253,obs,,
22,9.508671,obs,,
23,9.512221,obs,,
24,9.511647,obs,,
25,9.534135,obs,,
26,9.525876,obs,,
27,9.521753,obs,,
28,9.544273,obs,,
29,9.532449,obs,,
30,9.539592,obs,,
31,9.531352,obs,,
32,9.530812,obs,,
33,9.56108,obs,,
34,9.556956,obs,,
35,9.571856,obs,,
36,9.571328,obs,,
37,9.558973,obs,,
38,9.57389,obs,,
39,9.565663,obs,,
40,9.572875,obs,,
41,9.580098,obs,,
42,9.571882,obs,,
43,9.586839,obs,,
44,9.601824,obs,,
45,9.609086,obs,,
46,9.616358,obs,,
47,9.62364,obs,,
48,9.607668,obs,,
49,9.619059,obs,,
50,9.634118,obs,,
51,9.625898,obs,,
52,9.640976,obs,,
53,9.625001,obs,,
54,9.647858,obs,,
55,9.651526,obs,,
56,9.65109,obs,,
57,9.662548,obs,,
58,9.673592,obs,,
59,9.665377,obs,,
60,9.676857,obs,,
61,9.660863,obs,,
62,9.67234,obs,,
63,9.679728,obs,,
64,9.675628,obs,,
65,9.69083,obs,,
66,9.67893,obs,,
67,9.701955,obs,,
68,9.693755,obs,,
69,9.709001,obs,,
70,9.728382,obs,,
71,9.708622,obs,,
72,9.704526,obs,,
73,9.704157,obs,,
74,9.711609,obs,,
75,9.730999,obs,,
76,9.726902,obs,,
77,9.738479,obs,,
78,9.753821,obs,,
79,9.757573,obs,,
80,9.765085,obs,,
81,9.741524,obs,,
82,9.768844,obs,,
83,9.76474,obs,,
84,9.756881,obs,,
85,9.768502,obs,,
86,9.772267,obs,,
87,9.776034,obs,,
88,9.771933,obs,,
89,9.764068,obs,,
90,9.783577,obs,,
91,9.779474,obs,,
92,9.787352,obs,,
93,9.779474,obs,,
94,9.775376,obs,,
95,9.775376,obs,,
96,9.783249,obs,,
97,9.787027,obs,,
98,9.791129,obs,,
99,9.795236,obs,,
100,9.787352,obs,,
101,9.803127,obs,,
102,9.791458,obs,,
103,9.795567,obs,,
104,9.795567,obs,,
105,9.791792,obs,,
106,9.795905,obs,,
107,9.796248,obs,,
108,9.796596,obs,,
109,9.804491,obs,,
110,9.793184,obs,,
111,9.785659,obs,,
112,9.786025,obs,,
113,9.782644,obs,,
114,9.771397,obs,,
115,9.775918,obs,,
116,9.756833,obs,,
117,9.769244,obs,,
118,9.762198,obs,,
119,9.759327,obs,,
120,9.748181,obs,,
121,9.75323,obs,,
122,9.73842,obs,,
123,9.727812,obs,,
124,9.720924,obs,,
125,9.706223,obs,,
126,9.707726,obs,,
127,9.709279,obs,,
128,9.67956,obs,,
129,9.680645,obs,,
130,9.661944,obs,,
131,9.674495,obs,,
132,9.682881,obs,,
133,9.646146,obs,,
134,9.644329,obs,,
135,9.634782,obs,,
136,9.628877,obs,,
137,9.607465,obs,,
138,9.601001,obs,,
139,9.598775,obs,,
140,9.595901,obs,,
141,9.57468,obs,,
142,9.580293,obs,,
143,9.543716,obs,,
144,9.528992,obs,,
145,9.538147,obs,,
146,9.515204,obs,,
147,9.50131,obs,,
148,9.492448,obs,,
149,9.46329,obs,,
150,9.464854,obs,,
151,9.448309,obs,,
152,9.429524,obs,,
153,9.402391,obs,,
154,9.378766,obs,,
155,9.373795,obs,,
156,9.363727,obs,,
157,9.369768,obs,,
158,9.345459,obs,,
159,9.354879,obs,,
160,9.333639,obs,,
161,9.335176,obs,,
162,9.331838,obs,,
163,9.331216,obs,,
164,9.309339,obs,,
165,9.266464,obs,,
166,9.237374,obs,,
167,9.239249,obs,,
168,9.230378,obs,,
169,9.23749,obs,,
170,9.21046,obs,,
171,9.195227,obs,,
172,9.205697,obs,,
173,9.163966,obs,,
174,9.159579,obs,,
175,9.150996,obs,,
176,9.139253,obs,,
177,9.107463,obs,,
178,9.12438,obs,,
179,9.102241,obs,,
180,9.085384,obs,,
