basin,stream,season,yr,season.yr,basin.stream,basin.season.yr,basin.stream.season.yr,n,w,elev,aspect,from.north,percent.south,slope,bf,pebble,width,depth,discharge,carbon,ammonia,nitrate,din,cn.ratio,phosphate,canopy,par.integrative,par.mean,par.max,temp.max,temp.min,temp.mean
swauk,blue,fall,17,2nd Fall '17,swauk.blue,swauk.fall.17,swauk.blue.fall.17,47.296801,120.705743,869,120,120,66.66666667,3,5.2,35.5,0.9,0.038,6.3,2.36,-0.0163407,0.002935,0.0049822,473.6863233,0.0130328,32.6,0.2290639,795.4,4381.4,1.39,0.61,1.01
taneum,first,fall,17,2nd Fall '17,taneum.first,taneum.fall.17,taneum.first.fall.17,47.114618,120.946155,880,155,155,86.11111111,5,5.07,42,0.35,0.04,4.6,5.11,-0.0131792,0.0010085,0.0062172,821.9134015,0.0455279,22.9,0.0900563,312.7,2088,2.58,2.27,2.42
taneum,frost,fall,17,2nd Fall '17,taneum.frost,taneum.fall.17,taneum.frost.fall.17,47.102939,120.950163,904,328,32,17.77777778,10,12.74,60,0.5,0.06,6.9,9.02,-0.016478,0.0002891,0.002199,4101.864484,0.0338203,20.3,0.0661704,229.8,1779.1,2.03,1.53,1.8
swauk,hovey,fall,17,2nd Fall '17,swauk.hovey,swauk.fall.17,swauk.hovey.fall.17,47.318852,120.695241,905,108,108,60,6,3.44,62,0.95,0.07,8.7,3.85,-0.0140826,0.1816721,0.1859774,20.70144007,0.0080934,46.4,0.098671,342.6,2102.1,2.61,2.35,2.48
swauk,hurley,fall,17,2nd Fall '17,swauk.hurley,swauk.fall.17,swauk.hurley.fall.17,47.321212,120.674011,932,302,58,32.22222222,3,3.32,66,0.9,0.046,2.3,5.69,-0.0161283,0.0128237,0.0150833,377.2384027,0.0147885,47.1,0.2439064,846.9,6439.6,4.03,3.42,3.62
swauk,iron,fall,17,2nd Fall '17,swauk.iron,swauk.fall.17,swauk.iron.fall.17,47.336689,120.693441,950,139,139,77.22222222,2,5.16,43.5,1.6,0.08,11.8,4.49,-0.0162749,0.0001039,0.0022169,2025.350715,0.0083919,19.3,0.0352814,122.5,666,4.72,4.45,4.59
teanaway,jack,fall,17,2nd Fall '17,teanaway.jack,teanaway.fall.17,teanaway.jack.fall.17,47.3475,120.782771,954,225,135,75,3,3.62,68.5,1.6,0.11,12.1,6.31,-0.0154918,-0.0007981,0.002098,3007.626311,0.0086114,45.3,0.3160703,1097.5,6075.6,3.2,2.52,2.86
teanaway,miller,fall,17,2nd Fall '17,teanaway.miller,teanaway.fall.17,teanaway.miller.fall.17,47.368323,120.78448,981,170,170,94.44444444,5,6.08,55,2,0.088,35.5,1.79,-0.013041,0.0076355,0.0129824,137.8789746,0.0049332,36.2,0.1086784,377.4,1907.8,3.47,2.8,3.08
teanaway,standup,fall,17,2nd Fall '17,teanaway.standup,teanaway.fall.17,teanaway.standup.fall.17,47.356182,120.836047,871,152,152,84.44444444,8,4.42,92,2.1,0.17,52.9,2.14,-0.0143129,-0.0012613,0.0028137,760.5643814,0.0074146,78.1,0.5013945,1741,19970.1,3.79,3.03,3.29
swauk,swauk,fall,17,2nd Fall '17,swauk.swauk,swauk.fall.17,swauk.swauk.fall.17,47.331107,120.614636,1071,289,71,39.44444444,4,4.82,39,1.1,0.06,20.9,3.57,-0.0134443,0.0030277,0.0079713,447.8566859,0.0264903,26,0.1383267,480.3,3685.4,2,1.51,1.7
swauk,blue,sum,17,1st Summer '17,swauk.blue,swauk.sum.17,swauk.blue.sum.17,47.296801,120.705743,869,120,120,66.66666667,3,5.2,35.5,0.9,0.048,9,4.99,-0.0144229,0.0058888,0.0098538,506.4036209,0.0149465,32.6,1.1243815,3904.1,21381.2,12.32,10.58,11.53
